product_name,vendor_name,sales,package,selling_price,original_price,rating,review_number,origin,comment,date
喜寶 - 有機雙益®️ HMP嬰兒配方奶粉 (1號) (800克) 【香港原裝行貨】(38587) 適用年齡：初生起,HiPP 喜寶官方旗艦店,"10,000",,383.00,,4.3,75,德國,"['5_star', '出世飲到而家健康寶寶😍bb便便好好，九個月依然好鍾意飲奶😋', 'OFFICAL', '😁', '好快送到', '性價比極高的有機奶粉', '回購 回購 一如既往嘅好', '細佬妹一個一個咁生B, 而家keep 住一個一個咁食呢個品牌, 送去呀媽度, 個個都食得好好, 至少唔會成日有病痛', '好', '大便勁暢順又唔臭', 'Hipp 好', '1_star', '奶粉罐是凹了，沒看清楚開了，無法退換，下次還是實體店購買比較安心', '呢啲都叫做包裝？', '幾時有貨？初生嬰兒奶粉可以冇貨？', '突然冇貨👎👎👎', '今天收到，打開箱後發現奶粉蓋極度骯髒，多灰多塵，要求換貨！', '凹左既 罐奶粉。', '新包裝非常難溶，考慮轉其它牌子。']",2023-12-10
美素佳兒 - 有機FRISO PRESTIGE BIO 3號成長配方奶粉800克 - 皇家美素佳兒 FRISO PRESTIGE,荷蘭美素佳兒官方旗艦店,"10,000",800克,488.90,,4.3,54,荷蘭,"['5_star', '可以特價更好', '包裝完好, 貨期新鮮!', 'Great quality, my toddlers love it', '如果有優惠會再次回購', 'Good', '好，有特價後抵', '有益健康', 'good', '原價$488.9/罐，入美素半價優惠碼後$244.4/罐。', 'Good', '1_star', '買果時沒有說明呢$400 優惠券是有限期.\n7月28號送貨. 31號原來經完左. 不能使用果$400\n\n訂單沒有明確顯示呢$400 是有限期使用. 要按入去睇先知有. 有被騙感覺.\n得3日😏\n\n真是好野👍🏻👍🏻👍🏻 甘既推廣', '買4罐，有2罐都凹陷，有冇搞錯，紙盒完整但奶粉罐竟然係凹的，麻煩找人跟進。', '本身佢有買4罐送400蚊HKTV MALL COUPON，一早放左4罐落購物車內但未比錢，到之後再比錢無為意，比完錢先見到無送coupon，咁我點解要喺你到買？變左0優惠！出面咁多優惠咁多野送我唔買咁洗喺你到買？客服淨係叫我截圖睇下果陣係咪真係有送coupon，笑死我會唔會買果陣cap定圖？仲話我比錢果陣無話送就即係無，明明買當晚8點幾我睇購物車都仲見到有，到10點幾買無為意就咁㩒買之後就無送到，而家客服淨識推落消費者到，離哂大譜！', '4罐有兩罐係凹既，其中一罐個蓋開口既密封膠條都冇埋', '四罐有兩罐都被撞凹左，不能接受。尤其是係BB奶粉，係咪應該小心啲？']",2023-12-10
雀巢® - [升級] 能恩®啟護TM 2號配方奶粉800g,雀巢嬰幼營養官方旗艦店,"10,000",800克,295.00,,4.2,87,德國,"['5_star', '用戶已設定此評論內容為非公開', '$277.9', '幾好', '9折抵', 'best price ever', '包裝少左，好', '好', '一直飲開！濕疹冇咁勁', '好', 'Good', '1_star', '連續三次訂購奶粉罐都係凹嘅，包裝差劣，求其用個膠袋入住就算，浪費奶粉也浪費大家時間。', '無送到贈品星星餅 請跟進', '送貨送少四罐奶粉，打HKTV mall 電話成日冇人聽，司機又說唔關佢事，可惡!', '比左舊版 請跟進和退貨', '3％回贈，可以返藥房買', '藥房賣緊$215']",2023-12-10
美贊臣 - [官方正貨] 美贊臣 Enfa A+ NeuroPro 智睿系列 3號配方奶粉 (嬰兒奶粉) (1-3歲適用),美贊臣官方旗艦店,"10,000",900克,275.00,,4,56,荷蘭,"['5_star', 'Good quality', '小弟弟喜歡喝這個味，香味濃郁', '很好', 'GOOD', '平靚正', 'Good', '方便拎貨', '用埋減一百蚊好平', 'Good', 'Good', '1_star', '11月1 號第一次收貨時，發現有三罐奶粉有明顯撞凹，要求換貨後。11月7號第二次收貨時仍然發現有一罐明顯撞凹，運輸師傅話他會安排再次更換，至今仍然未有接獲通知安排更換', '有咩理由成一個月都冇貨？代理將啲貨比曬""藥房""？', '買左4罐，但有3罐罐身有凹痕。', '剛剛收到了貨，打開包裝發現有3罐奶粉都是凹陷😖😖', '12罐奶粉全部以背心膠袋送貨，其中1罐被撞凹', '損壞', '用戶已設定此評論內容為非公開']",2023-12-10
雅培 - 雅培保兒加營素3+ (朱古力味) 850克,雅培嬰幼兒奶粉官方旗艦店,"10,000",850克,254.90,,4.3,57,新加坡,"['5_star', '小朋友一直飲開', '味道好, 補充營養, 小朋友要一日一杯', 'my kid like that, 👍', '每日沖一杯比小朋友補充營養。', '好', 'good', '寫就得啦女', 'kids like it a lot', '多次回購👍🏻', 'good', '1_star', '冇匙羹，點冲', '贈品包裝很差\n雖然是贈品，但都應該有另外一層的包裝作保護，而不是這樣用膠紙就咁痴住，仲要整爛晒\n\n要客人如何保留玩具的外盒作保存玩具之用？', '污糟成咁，難以想象送貨來之前存儲時的擺放位置😰😰😰', '為左贈品買4罐，但盒野冇左個水龍頭，有冇得跟進?']",2023-12-10
雀巢® - [升級] 能恩®啟護TM 1號配方奶粉800g,雀巢嬰幼營養官方旗艦店,"10,000",800克,308.00,,3.7,124,德國,"['5_star', 'gd quality', '商品優良', '包裝很好,送貨快', '買左几次', '再買', 'Good', '好!', '收貨嘅時候見到有用bubble紙同埋膠袋包裝，非常之貼心，唔會容易撞凹罐身，仲有今日訂貨，聽日就有，非常快捷方便，好過自己出街買，值得比贊。', '有bubble紙包住冇碰撞痕跡\n同埋送貨好快，一日就收到\n仲方便過自己親身買', '收到個陣係獨立用bubble紙包住，打開完全冇凹到，好快就收到，下次會繼續係到買👏🏻👏🏻', '1_star', '睇左其他評論都已經心大心細買唔買怕送黎罐奶粉有事…點知真係凹，凹左都已經可能有空氣入左去變壞，點俾小朋友食', '買左6罐 包裝係用泡泡紙pack住，再用膠袋裝住，冇用到紙箱pack，有3罐送到嚟都凹左，另外有2罐唔知點解個罐痴笠笠', 'Container dented at two places. it was stated in the product description when I searched the item that the supplier is Nestle, but it turned out to be The Market. I would not have ordered had I known this', '收升級版啟護價錢，貨就比舊版超級能恩，呃人買清舊貨', '你哋有冇搞錯，居然將罐奶粉同支生抽就甘用泡泡紙包埋一齊就出貨，起碼都要用紙箱裝下啦！', '凹晒，又有跡，甘既野都可以攞出黎賣', '唔係指定時間內送貨！', '樽蓋爛咗，請盡快聯絡更換', '送貨冇預先打比我 一打比我就話係門口，都唔緊要，我話等我10分鐘，夠膽死話擺係門口!!不知所謂!你地係咪要考慮下轉外判公司?定係你地自己請人?', '送錯貨！要超級能恩1號，送左S26,2號！請跟進！']",2023-12-10
喜寶 - 有機雙益®️ HMP較大嬰兒奶粉 (2號) (800克) (38594) 【香港原裝行貨】適用年齡: 6個月或以上,HiPP 喜寶官方旗艦店,"9,000",,383.00,,4.5,36,德國,"['5_star', '產品非常合嬰兒食用！', '產品質素好！', '好', '轉飲左一陣子, 都覺得好好, poopoo真係好緊要, 之前見到BB痾唔出, 見到都覺得佢辛苦, 而家轉左呢款, 日日都有', 'Good', 'BB食開呢隻奶粉，覺得幾好', '包裝無問題', 'Good', '有優惠券買，冇記錯好似係$199', '方便 真貨 加10蚊仲有餅乾', '1_star', '打開見到有條頭髮係匙上面⋯']",2023-12-10
雅培 - 愛心美豆奶配方 900g,雅培嬰幼兒奶粉官方旗艦店,"9,000",900克,293.90,,4.3,52,荷蘭,"['5_star', '十分好 多次回購', '幫助孩子成長', '加單優惠$23X 超抵！', 'vip day 有折', '家裡小孩固定喝此品牌豆奶粉產品，在網上買比市面還優惠！', 'VIP日比出面平，好抵買', '95折平過藥房又可以送貨', '95折,比藥房平,已多次回購', '95折會員優惠,比藥房平,送上門,非常好,已回購多次', '小朋友食開,比藥房平,而且送上門,非常好', '1_star', '已損壞', '打開膠蓋，滿佈灰塵，用紙巾抹，可見有多污糟，罐邊還有污塵，不知打開蓋後會唔會跌落奶粉內，十分不滿', '剛剛要開新奶粉，先打開bobble紙，先發現原來個銀色蓋掩爛左，太差！']",2023-12-10
illuma - LUXA® HMO 3號幼兒成長配方奶粉 850克 (6種HMO),惠氏營養品官方旗艦店,"8,000",850克,464.90,465.00,3.5,42,愛爾蘭,"['5_star', 'Good', 'Good', '包裝完整', '出世到現在都是飲呢隻品牌，現在還有贈品送非常好，good', 'Good', '第二次在這裏購買，今次買了兩罐，期限也是22年7月的，而且每罐也有用bubble紙包裝，非常好，會繼續在這裏購買👍🏻', '非常好！每一罐都有用bubble包裝好！到期日係2022年👍🏻', '抵買 飲開', '小朋友飲開，有100減，365都ok', '在家安心講物，又可增加抽獎機會', '1_star', '奶粉訂5罐有3罐罐身有凹痕，惠氏咁大間官方store,奶粉送貨竟然就咁肉酸搵張bubble紙包住然後搵個膠袋抽住咁比貨，零防護能力！好心咪咁姑寒比個紙箱啦！', '離譜到極點的安排，這麼大的廠商送來的奶粉當天就要過期了，品管有非常大的問題，可以用心經營品管嗎？小孩喝了出事誰負責呢？', '收倒三罐舊裝,到期日只有兩日，其中兩罐明顯嚴重凹咗同勁多塵，完全唔明白點解可以照出貨。仲要係官方旗艦店，真係極度失望。', '舊款，罐身污糟又凹咗，仲要後日到期，會唔會咁到照出貨呀', '食用期限竟然得一個月，根本就係想清倉底貨，買之前完全冇話俾人聽有欺騙之嫌，又唔肯退貨換貨，得一個月都話有一段日子，有小朋友嘅家長都知一個月點可以食得曬大奶粉，唔通我一日飲五次', '買滿6罐送氣炸鍋，但沒有送貨！', '真係平都唔好買...凹...', '買左13罐奶粉，全部又爛又凹，客戶服務提議我換貨，等左一個禮拜換黎新既13罐奶粉仍然係爛同凹，完全用唔到，不能接受！依家仲唔俾我選擇退錢！用左幾千蚊買有問題產品！用左咁耐hktvmall從未試過會有咁離譜既產品同服務！唔該退番錢！！！！！！！！！！', '買10罐，有4罐有凹陷。想退貨。', '包裝非常不妥，奶粉罐普遍都有凹痕，要求回收及退款']",2023-12-10
明治 - [香港版正貨]成長配方EZcube,日本明治奶粉香港官方旗艦店,"8,000",448g,169.00,170.00,4.5,63,日本,"['5_star', 'Great product and been using since long time', 'Handy product', '我仔仔飲開這奶粉', '方便', '第二次購買', '抵飲', 'Ok', 'Good', '抵', '方便', '1_star', '2021製造的外盒還污損，有效期限還只到6月20！店家完全沒說是即期商品\n\n一次店，不會有第二次光顧了', '越來越無優惠，買五先減70，以前係減開100', '又話12/2開始做買5盒減$100\n仲要由$140 加到 $148\n優惠未有, 仲要加價']",2023-12-10
明治 - [香港版正貨]成長配方1-3歳 (新包裝),日本明治奶粉香港官方旗艦店,"8,000",800克,240.00,270.00,3.8,108,日本,"['5_star', '好好', '做緊特價 好平', '價錢平，但成日無貨！', '很好', '斷貨左一段時間，終於有貨，$200/罐，無左$360/2罐\n同埋罐唔同左樣，係咪轉新罐？前幾日買$200/罐，今日出評語時$250罐？！', 'Ok', 'Nice!', 'ok', '平過街買', 'Regular buy', '1_star', 'Dented. While 3rd parties packed with boxes, official Meiji packed with bubble wrap.', 'Dented badly', '貴品牌奶粉infant formula含基因毒性同致癌物，想退貨', '兩罐奶粉中有一罐一打開內有不明物', '好嬲，罐底生銹，2018年製造', '今日送三罐嚟，全部都無用bubble紙包，撞凹得好緊要！（以前訂講好多次都有包好，就算撞凹都只係凹少少）', '日期較短\n2020年11月20日就到期', '第一次買，就漏送了！不知怎麼聯絡要回來？', '買左6罐，送了2次奶粉罐還是凹陷的，令人失望！', '送漏三罐，麻煩盡快跟進']",2023-12-10
喜寶 - 喜寶3號雙益幼兒成長配方奶粉,大街市,"7,000",800克,372.00,373.00,4.1,87,德國,"['5_star', '買開，希望多啲折扣', 'ok', '回購了好多次 大街市買雖然無盒, 但都用bubble 包到好實, 完全無凹\n\n婆婆屋企有幾個小朋友都係食開, 食得好快, 如果做多啲特價就更好', '過咗一歲，都要開始幫BB轉3號，先買左一罐每日一餐咁幫BB試下轉，開初都擔心poopoo唔夠好，不過同品牌真係唔使擔心， BB勁快適應到， poopoo都係keep住咁靚，有機奶粉真心唔錯', '2號仔已經食開，3號仔奶粉會乾身啲，都幾易溶，同２號仔一樣，味道都係好淡。BB一樣食得好快，每晚一定要一大支先肯瞓，不過肯食好過唔食', '仔仔之前飲第二隻牌子，但一轉季就會出疹，聽其他媽媽group話hipp唔錯，買左2號試一段時間，濕疹同皮膚敏感有改善到，味道會比其他brand淡小小，但最緊要係日日有便便同bb身體健康，宜家開始飲3號喇，之後都會keep住飲。', '幾好，平出面幾十蚊', 'Price and quality is good', 'Good buying experience', '一直買開荷蘭版，平幾十蚊，已多次回購', '1_star', '第一次係大街市買奶粉，因貪平買兩罐，甘就出曬事，小朋友長期飲開 hippo, 從未有發生甘嘅事，之前只係萬寧或專門店買。 但今次 差唔多用到底，見到黑色物體係奶粉度，真係嚇親！！ 小朋友 咁細個，你哋公司d品質甘差，家長點放心，所以大家唔好再幫襯啦。\n同埋唔該你哋hktvmall or yr company staff to 聯絡返我啊! 我覺得唔係小事lor !!!!', '長期買哩個奶粉，最近無意中見到兩次都有污染物喺奶粉入面，唔敢再買了！唔知食左幾多垃圾落肚😖😖', '用正價購買，但得到的係就快過期產品，由收貨到過期不足一個月，bb點食得切！仲吾肯退換，實在太過份！', '11月16到期，但聞到有異味，請跟進，謝謝', '差不多要過期了。購買時沒有寫有效期，等付款後才顯示有效期，是不是有點欺騙消費者的成分啊?', '$99，得番5個月食用日期', '2019年4月生產，2020年10月到期，生產咗超過1年，兼衹剩下4個月左右到期，屬於期貨，比bb食的希望能標示埋日期，好讓媽媽有心理預期，唔該！', '你好！ 奶粉日期很快就過期了，麻煩回電話溝通51313666 ，謝謝', '成日缺貨，物流做好D啦.', '非常不滿，請安排退貨。我買了兩罐，有1支沐浴露送，現在只發貨1罐，沒有沐浴露送。。。請盡快安排退貨。。。極度不滿！！！！！！！！！！！！！']",2023-12-10
illuma - ILLUMA® Organic 3號幼兒成長有機配方奶粉 850克,惠氏營養品官方旗艦店,"7,000",850克,498.90,,4.2,43,愛爾蘭,"['5_star', '贈送$700 Sogo禮劵\n抵買', '宝宝一直在喝', '用戶已設定此評論內容為非公開', '$299 加VIP95折, 抵', 'okay', '完整無缺非常好', '食開。', '一罐都有包裝，讚', 'Good', '回购', '1_star', '買左好多次，今次包裝最隨便，只用一層好薄的泡泡紙包住，然後放入膠袋就算，返至屋企發現底部撞凹左。今次好唔滿意。', '奶粉罐又係凹，完全冇改善', '凹咗，請換貨和跟進', '買了3罐，2罐凹左', '要晚上七點後才有貨，白行兩次，即場打開貨品是嚴重凹陷，即場退貨', '罐凹了', '奶粉罐凹咗，要求退換']",2023-12-10
Aptamil - Aptamil 白金版 - 較大嬰兒配方奶粉2號900克,Aptamil香港官方旗艦店,"6,000",900克,376.20,418.00,3.9,16,紐西蘭,"['5_star', '價錢物美，有$500購物券回贈，好抵👍👍👍👍', '很好', '包裝良好，送貨快', 'Good', 'good', '态度好', '包裝完整無缺', '好', '阿囡飲開', '完整包裝', '1_star', '買四罐，唔明白點解有紙箱打包都係凹罐既 😓', 'Bb展買入的奶粉 官方商店直出安心d 第一次收貨有凹陷 安排換貨 但換貨後凹陷更加嚴重\n很失望 對bb食品處理可以謹慎啲嗎？', '買左4罐2號\n2罐3號\n用膠袋再加bubble紙\n每罐也有碰撞痕跡\n還好凹的程度一般\n完全冇視是嬰兒食用', '訂過咁多次都冇試過凹貨今日第一次收到其中一罐凹貨,唔知會唔會影響貨品質素']",2023-12-10
雅培 - 雅培保兒加營素1+ (呍呢嗱味) 850克,雅培嬰幼兒奶粉官方旗艦店,"6,000",850g,264.90,,4.4,20,新加坡,"['5_star', '口味太甜了', 'good', '送貨快', '多次回購', '會再次回購', '會再次回購。', 'good', '買左4罐送左個廚房玩具👍🏻吸引', '正常', 'Great product with high quality', '1_star', '買左6罐，明明話送6本書、送黎得1本']",2023-12-10
